PART,CONDITION
Not Detected,MISSING
Not Detected,MISSING
Not Detected,MISSING
Not Detected,BROKEN
Not Detected,BROKEN
Not Detected,BROKEN
Not Detected,BROKEN
Not Detected,BROKEN
Not Detected,BROKEN
WILL,NOT RESET
TONGUE,REPLACE
Not Detected,MISSING
Not Detected,NO POWER
Not Detected,BROKEN
Not Detected,WORN
VENTILATION DIFFUSERS,MISSING
MAINT,Not Detected
MAINT,Not Detected
MAINT,Not Detected
MAINT,Not Detected
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
Not Detected,SIEZED
TEMP VENTILATION,REQUIRED
TEMP VENTILATION,REQUIRED
SPEAKER,NOT MOUNTED
FAN MOTOR,BROKEN
Not Detected,CORROSION
PRESSURE SWITCH,OUT OF CAL
FILTERS,DIRTY
VENT.,BROKEN
FCU VENT VALVES,REPLACE
AIR FILTER,DIRTY
OF FILTERS,REPLACEMENT
LABEL,MISSING
BASKET,SEIZED
1MC,INOPERABLE
Not Detected,LOW STOCK
Not Detected,LOW STOCK
FILTER,REPLACEMENT
FCU REPAIR,Not Detected
EXHAUST,Not Detected
DEFECTIVE,RELAY
Not Detected,NEED
VENT DIFFUSERS,Not Detected
Not Detected,REQUIRED
MAC UNIT FILTERS,DIRTY
FAN COIL,INOP
CASTLE NUT FABRICATION,Not Detected
FCU AIR FILTER,DEGRADED
MAC UNIT BELTS,BROKEN
FILTERS,DEGRADED
FILTER,ORDER
INSUFFICIENT,Not Detected
DRAIN,LEAK
LAGGING,RIPPED
Not Detected,LOW SURVEY SUPPLIES
FILTER,REPLACEMENT
HOOD SOLENOID,DEGRADED
UNIONS,LEAKING
SOLID STATE,RELAY
DRIVE SHAFT,Not Detected
ANGLE VLV,BROKEN
FAN,INOP
DAMPER,INOP
DAMPER,INOP
DAMPER,INOP
DAMPER,INOP
DAMPER,INOP
DAMPER,INOP
DAMPER,INOP
